ID,Node,Action,ActionData,Description,Parent,Parameters,Image,SelectedImage,FormatID,DetailCommand,KeyType,Inactive,ForwardParam,PrintType,PrintWidth,GroupBy,SubTotals,SubTotalLabel,NoSubTotals,ColumnWidth,Header,Footer,TopLineBreak,BottomLineBreak,PageLength,TopMargin,BottomMargin,"Insert Into  ReportData(ID,Node,Action,ActionData,Description,Parent,Parameters,Image,SelectedImage,FormatID,DetailCommand,KeyType,Inactive,ForwardParam,PrintType,PrintWidth,GroupBy,SubTotals,SubTotalLabel,NoSubTotals,ColumnWidth,Header,Footer,TopLineBreak,BottomLineBreak,PageLength,TopMargin,BottomMargin)"
262,Round-off expenses,1,spr_List_ShortageExcess,,455,1,1,2,0,263,3,0,1,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 262,'Round-off expenses',1,'spr_List_ShortageExcess','',455,1,1,2,0,263,3,0,1,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
263,Round Off Expenses Detail,2,sp_acc_rpt_List_ShortageExcess_Detail,,262,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 263,'Round Off Expenses Detail',2,'sp_acc_rpt_List_ShortageExcess_Detail','',262,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
264,Sales Ledger - Manufacturer,1,spr_Mfr_Sales_Ledger,,436,1,1,2,0,265,3,0,1,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 264,'Sales Ledger - Manufacturer',1,'spr_Mfr_Sales_Ledger','',436,1,1,2,0,265,3,0,1,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
265,Manufacturerwise Sales Ledger Detail,2,spr_Mfr_Sales_Ledger_Detail,,264,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 265,'Manufacturerwise Sales Ledger Detail',2,'spr_Mfr_Sales_Ledger_Detail','',264,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
266,Sales Ledger,1,spr_Total_Sales_Ledger,,169,1,1,2,0,267,3,1,1,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 266,'Sales Ledger',1,'spr_Total_Sales_Ledger','',169,1,1,2,0,267,3,1,1,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
267,Sales Ledger Detail,2,spr_Total_Sales_Ledger_Detail,,266,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 267,'Sales Ledger Detail',2,'spr_Total_Sales_Ledger_Detail','',266,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
268,Customer Cheques - Undeposited,1,sp_acc_rpt_UnDeposited_Cheques,,454,1,1,2,0,0,0,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 268,'Customer Cheques - Undeposited',1,'sp_acc_rpt_UnDeposited_Cheques','',454,1,1,2,0,0,0,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
269,Salesman - commission,1,spr_salesman_commission,,439,25,1,2,0,270,200,0,3,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 269,'Salesman - commission',1,'spr_salesman_commission','',439,25,1,2,0,270,200,0,3,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
270,Salesmanwise Commission Detail,2,spr_salesman_commission_Detail,,269,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 270,'Salesmanwise Commission Detail',2,'spr_salesman_commission_Detail','',269,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
271,Retail Sales returns,1,Spr_List_SalesReturn_RetailInvoice_MUOM,,440,117,1,2,0,272,3,0,3,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 271,'Retail Sales returns',1,'Spr_List_SalesReturn_RetailInvoice_MUOM','',440,117,1,2,0,272,3,0,3,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
272,Sales Return On Retail Invoice Detail,2,Spr_List_SalesReturn_RetailInvoice_Detail_MUOM,,271,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 272,'Sales Return On Retail Invoice Detail',2,'Spr_List_SalesReturn_RetailInvoice_Detail_MUOM','',271,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
275,Customer Census,0,,Click to view Retail Universe Reports,2,0,1,2,0,0,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 275,'Customer Census',0,'','Click to view Retail Universe Reports',2,0,1,2,0,0,0,0,0,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
276,Current Customers,1,spr_Cur_Retail_Universe_MUOM,,275,136,1,2,0,277,200,0,4,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 276,'Current Customers',1,'spr_Cur_Retail_Universe_MUOM','',275,136,1,2,0,277,200,0,4,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
277,Customer Census - Current,2,spr_Cur_Retail_Universe_Detail_MUOM,,276,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 277,'Customer Census - Current',2,'spr_Cur_Retail_Universe_Detail_MUOM','',276,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
278,Lapsed Customers,1,spr_Lapse_Retail_Universe_muom,,275,131,1,2,0,279,200,0,6,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 278,'Lapsed Customers',1,'spr_Lapse_Retail_Universe_muom','',275,131,1,2,0,279,200,0,6,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
279,Lapse Outlets Detail,2,spr_Lapse_Retail_Universe_Detail_muom,,278,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 279,'Lapse Outlets Detail',2,'spr_Lapse_Retail_Universe_Detail_muom','',278,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
280,New Customers,1,spr_New_Retail_Universe_MUOM,,275,130,1,2,0,281,200,0,6,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 280,'New Customers',1,'spr_New_Retail_Universe_MUOM','',275,130,1,2,0,281,200,0,6,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
281,New Outlets Detail,2,spr_New_Retail_Universe_Detail_MUOM,,280,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 281,'New Outlets Detail',2,'spr_New_Retail_Universe_Detail_MUOM','',280,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
282,Repeat Customers,1,spr_Repeat_Retail_Universe_muom,,275,130,1,2,0,283,200,0,6,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 282,'Repeat Customers',1,'spr_Repeat_Retail_Universe_muom','',275,130,1,2,0,283,200,0,6,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
283,Repeat Outlet Detail,2,spr_Repeat_Retail_Universe_Detail_muom,,282,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 283,'Repeat Outlet Detail',2,'spr_Repeat_Retail_Universe_Detail_muom','',282,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
284,Cash Customers,1,spr_Cash_Parties_MUOM,,275,138,1,2,0,285,3,0,1,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 284,'Cash Customers',1,'spr_Cash_Parties_MUOM','',275,138,1,2,0,285,3,0,1,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
285,Cash Parties Detail,2,spr_Cash_Parties_Detail_MUOM,,284,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 285,'Cash Parties Detail',2,'spr_Cash_Parties_Detail_MUOM','',284,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
286,Invoicewise Item Details,1,spr_list_invoices_MUOM_Top_New,Click to view invoices details,151,34,1,2,0,287,3,0,4,0,170,0,,,1,1.05E+153,,,0,0,58,3,3,"SELECT 286,'Invoicewise Item Details',1,'spr_list_invoices_MUOM_Top_New','Click to view invoices details',151,34,1,2,0,287,3,0,4,0,170,0,'','',1,'1.05E+153','','',0,0,58,3,3 UNION ALL"
287,Invoice Items Details,2,spr_list_invoices_MUOM_Bottom_New,,286,0,1,2,0,0,3,1,0,0,136,0,,,1,9.30E+122,,,0,0,0,0,0,"SELECT 287,'Invoice Items Details',2,'spr_list_invoices_MUOM_Bottom_New','',286,0,1,2,0,0,3,1,0,0,136,0,'','',1,'9.3003E+122','','',0,0,0,0,0 UNION ALL"
288,Daywise Salesmanwise Outstanding,1, spr_list_Customerwise_Invoicewise_Outstanding_ITC,View Weekdaywise Outstanding,151,40,1,2,0,0,3,0,0,0,250,0,,,1,1.44E+58,,,1,1,116,0,0,"SELECT 288,'Daywise Salesmanwise Outstanding',1,' spr_list_Customerwise_Invoicewise_Outstanding_ITC','View Weekdaywise Outstanding',151,40,1,2,0,0,3,0,0,0,250,0,'','',1,'1.44001E+58','','',1,1,116,0,0 UNION ALL"
289,Collections Reports,1, spr_list_Invoicewise_Collections_ITC_Cash,View InvoiceWise Collections,151,76,1,2,0,0,3,0,0,1,250,0,,,0,9.00E+97,,,0,0,160,0,0,"SELECT 289,'Collections Reports',1,' spr_list_Invoicewise_Collections_ITC_Cash','View InvoiceWise Collections',151,76,1,2,0,0,3,0,0,1,250,0,'','',0,'9.00013E+97','','',0,0,160,0,0 UNION ALL"
290,Price List,1,spr_manufacturerwise_item_pricelist,,448,99,1,2,0,0,0,0,0,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 290,'Price List',1,'spr_manufacturerwise_item_pricelist','',448,99,1,2,0,0,0,0,0,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
291,Outstanding - Channelwise,1,spr_list_Channel_OutStanding_ITC,,451,1,1,2,0,292,3,0,1,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 291,'Outstanding - Channelwise',1,'spr_list_Channel_OutStanding_ITC','',451,1,1,2,0,292,3,0,1,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
292,Channelwise Outstanding Detail,2,spr_list_Channel_OutStanding_Detail,,291,0,1,2,0,0,3,1,0,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 292,'Channelwise Outstanding Detail',2,'spr_list_Channel_OutStanding_Detail','',291,0,1,2,0,0,3,1,0,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
293,New Items,1,spr_itemlist,,448,32,1,2,0,0,0,0,0,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 293,'New Items',1,'spr_itemlist','',448,32,1,2,0,0,0,0,0,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
294,Beat Sales - Monthly,1,spr_month_wise_sales_wise_beat,,439,33,1,2,0,0,0,0,0,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 294,'Beat Sales - Monthly',1,'spr_month_wise_sales_wise_beat','',439,33,1,2,0,0,0,0,0,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
295,Free Sales,1,Spr_FreeSalesListing,,437,1,1,2,0,296,200,0,1,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 295,'Free Sales',1,'Spr_FreeSalesListing','',437,1,1,2,0,296,200,0,1,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
296,Free Sales Detail,2,Spr_FreeSalesListing_detail,,295,0,1,2,0,0,0,1,0,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 296,'Free Sales Detail',2,'Spr_FreeSalesListing_detail','',295,0,1,2,0,0,0,1,0,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
297,Retail Sales - Staff commission,1,spr_salesStaff_commission,,440,139,1,2,0,298,3,0,2,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 297,'Retail Sales - Staff commission',1,'spr_salesStaff_commission','',440,139,1,2,0,298,3,0,2,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
298,Retail SalesStaffwise Commission Detail,2,spr_salesstaff_commission_Detail,,297,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 298,'Retail SalesStaffwise Commission Detail',2,'spr_salesstaff_commission_Detail','',297,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
299,Dispatch Summary,1,spr_daily_dispatch_summary_MUOM,,437,126,1,2,0,0,0,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 299,'Dispatch Summary',1,'spr_daily_dispatch_summary_MUOM','',437,126,1,2,0,0,0,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
300,SI-10,1,spr_SI10,,275,1,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 300,'SI-10',1,'spr_SI10','',275,1,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
301,Stock Movement - Manufacturer,1,spr_list_manufacturerwise_stockmovement,,429,59,1,2,0,302,3,0,2,4,234,0,,,0,,,,0,0,0,0,0,"SELECT 301,'Stock Movement - Manufacturer',1,'spr_list_manufacturerwise_stockmovement','',429,59,1,2,0,302,3,0,2,4,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
302,Manufacturerwise Stock Movement Detail,2,spr_list_manufacturerwise_stockmovement_detail,,301,6,1,2,0,0,0,1,0,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 302,'Manufacturerwise Stock Movement Detail',2,'spr_list_manufacturerwise_stockmovement_detail','',301,6,1,2,0,0,0,1,0,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
303,Items - Percentage penetration,1,spr_percentage_penetration,Click to view Item Persentage,437,39,1,2,0,0,0,0,0,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 303,'Items - Percentage penetration',1,'spr_percentage_penetration','Click to view Item Persentage',437,39,1,2,0,0,0,0,0,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
304,Consolidated Reports,0,,Click to view Consolidated Reports,0,0,1,2,0,0,0,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 304,'Consolidated Reports',0,'','Click to view Consolidated Reports',0,0,1,2,0,0,0,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
305,Companywise Itemwise Book Stock,1,spr_Companywise_Itemwise_BookStock_Rec_Abstract,Click to view Companywise Itemwise Book Stock,304,40,1,2,0,306,200,1,2,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 305,'Companywise Itemwise Book Stock',1,'spr_Companywise_Itemwise_BookStock_Rec_Abstract','Click to view Companywise Itemwise Book Stock',304,40,1,2,0,306,200,1,2,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
306,Companywise Itemwise Book Stock Details,2,spr_Companywise_Itemwise_BookStock_Rec,Click to view Companywise Itemwise BookStockDetail,305,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 306,'Companywise Itemwise Book Stock Details',2,'spr_Companywise_Itemwise_BookStock_Rec','Click to view Companywise Itemwise BookStockDetail',305,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
307,Itemwise Companywise Book Stock,1,spr_Itemwise_Companywise_BookStock_Received,Click to view Itemwise Companywise Book Stock,304,7,1,2,0,308,200,1,1,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 307,'Itemwise Companywise Book Stock',1,'spr_Itemwise_Companywise_BookStock_Received','Click to view Itemwise Companywise Book Stock',304,7,1,2,0,308,200,1,1,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
308,Itemwise Companywise Book Stock Details,2,spr_Itemwise_Companywise_BookStock_RecDetails,Click to view Itemwise Companywise BookStockDetail,307,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 308,'Itemwise Companywise Book Stock Details',2,'spr_Itemwise_Companywise_BookStock_RecDetails','Click to view Itemwise Companywise BookStockDetail',307,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
309,Consolidated Non Moving Stock,1,spr_Consolidate_NonMoving_Stock,Click to view Non Moving Stock Details,304,43,1,2,0,310,200,1,2,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 309,'Consolidated Non Moving Stock',1,'spr_Consolidate_NonMoving_Stock','Click to view Non Moving Stock Details',304,43,1,2,0,310,200,1,2,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
310,Non Moving Stock Details,2,spr_Consolidate_NonMoving_Stock_details,,309,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 310,'Non Moving Stock Details',2,'spr_Consolidate_NonMoving_Stock_details','',309,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
311,Collections - Advance,1, spr_list_Invoicewise_Collections_ITC_Cash_Adv,View Advance Collections,151,1,1,2,0,0,3,0,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 311,'Collections - Advance',1,' spr_list_Invoicewise_Collections_ITC_Cash_Adv','View Advance Collections',151,1,1,2,0,0,3,0,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
312,Sales Return,1,spr_list_SR_MUOM_Top_new,View SalesReturn Invoice,151,34,1,2,0,0,3,0,0,0,170,0,,,0,,,,0,0,0,0,0,"SELECT 312,'Sales Return',1,'spr_list_SR_MUOM_Top_new','View SalesReturn Invoice',151,34,1,2,0,0,3,0,0,0,170,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
313,Sales - Low Margin,1,spr_negative_margin,,436,42,1,2,0,314,200,0,0,2,200,0,,,0,,,,0,0,0,0,0,"SELECT 313,'Sales - Low Margin',1,'spr_negative_margin','',436,42,1,2,0,314,200,0,0,2,200,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
314,Low Margin Sales Detail,2,spr_negative_margin_details,,313,0,1,2,0,0,0,1,0,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 314,'Low Margin Sales Detail',2,'spr_negative_margin_details','',313,0,1,2,0,0,0,1,0,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
315,Customer Ledger,1,spr_customer_ledger,Customer Ledger,455,27,1,2,0,316,200,0,3,0,0,1,3;4;5,,0,,,,0,0,0,0,0,"SELECT 315,'Customer Ledger',1,'spr_customer_ledger','Customer Ledger',455,27,1,2,0,316,200,0,3,0,0,1,'3;4;5','',0,'','','',0,0,0,0,0 UNION ALL"
316,Customer Ledger Details,2,spr_customer_ledger_details,Customer Ledger,315,0,1,2,0,0,0,1,0,0,0,3,5;6,,0,,,,0,0,0,0,0,"SELECT 316,'Customer Ledger Details',2,'spr_customer_ledger_details','Customer Ledger',315,0,1,2,0,0,0,1,0,0,0,3,'5;6','',0,'','','',0,0,0,0,0 UNION ALL"
317,Salesman - Sales return,1,spr_list_saleswiseproc,Salesman Wise Salesreturn,439,44,1,2,0,318,200,0,3,0,0,1,2,,0,,,,0,0,0,0,0,"SELECT 317,'Salesman - Sales return',1,'spr_list_saleswiseproc','Salesman Wise Salesreturn',439,44,1,2,0,318,200,0,3,0,0,1,'2','',0,'','','',0,0,0,0,0 UNION ALL"
318,Salesman Wise Salesreturn Details,2,spr_list_saleswiseproc_details,Sales Return Details,317,0,1,2,0,0,0,1,0,0,0,1,4,,0,,,,0,0,0,0,0,"SELECT 318,'Salesman Wise Salesreturn Details',2,'spr_list_saleswiseproc_details','Sales Return Details',317,0,1,2,0,0,0,1,0,0,0,1,'4','',0,'','','',0,0,0,0,0 UNION ALL"
319,Batch Movement,1,spr_list_BatchMovement_MUOM,Click here to view Batch Movement,437,128,1,2,0,320,200,0,3,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 319,'Batch Movement',1,'spr_list_BatchMovement_MUOM','Click here to view Batch Movement',437,128,1,2,0,320,200,0,3,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
320,batchMovement Detail,2,spr_list_BatchMovement_Detail_MUOM,,319,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 320,'batchMovement Detail',2,'spr_list_BatchMovement_Detail_MUOM','',319,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
321,Retail Customerwise Items,1,spr_list_Retail_Customerwise_Itemlist,Click here to view Retail Customerwise Itemlist,440,35,1,2,0,0,0,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 321,'Retail Customerwise Items',1,'spr_list_Retail_Customerwise_Itemlist','Click here to view Retail Customerwise Itemlist',440,35,1,2,0,0,0,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
322,Companywise Itemwise Stock Movement,1,spr_list_Companywise_Itemwise_Stock_Movement,Click here to view Cowise Itemwise Stock Movement,304,47,1,2,0,323,200,1,1,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 322,'Companywise Itemwise Stock Movement',1,'spr_list_Companywise_Itemwise_Stock_Movement','Click here to view Cowise Itemwise Stock Movement',304,47,1,2,0,323,200,1,1,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
323,Companywise Itemwise Stock Movement Detail,2,spr_Companywise_Itemwise_Stock_Movement_Detail,,322,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 323,'Companywise Itemwise Stock Movement Detail',2,'spr_Companywise_Itemwise_Stock_Movement_Detail','',322,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
324,Itemwise Companywise Stock Movement,1,spr_list_Itemwise_Companywise_Stock_Movement,Click to view Itemwise Companywise Stock Movement,304,6,1,2,0,325,200,1,2,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 324,'Itemwise Companywise Stock Movement',1,'spr_list_Itemwise_Companywise_Stock_Movement','Click to view Itemwise Companywise Stock Movement',304,6,1,2,0,325,200,1,2,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
325,Itemwise Companywise Stock Movement Detail,2,spr_Itemwise_Companywise_Stock_Movement_Detail,,324,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 325,'Itemwise Companywise Stock Movement Detail',2,'spr_Itemwise_Companywise_Stock_Movement_Detail','',324,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
326,Form A9,1,spr_list_Form_A9,Click here to view Form A9,3,45,1,2,0,0,0,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 326,'Form A9',1,'spr_list_Form_A9','Click here to view Form A9',3,45,1,2,0,0,0,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
327,C-Form/D-Form Exceptions,1,spr_list_CFormDForm_Exception,,2,0,1,2,0,0,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 327,'C-Form/D-Form Exceptions',1,'spr_list_CFormDForm_Exception','',2,0,1,2,0,0,0,0,0,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
328,Cost of Goods Sold,1,spr_list_Cost_of_Goods_Sold_General,Click here to view Cost of Goods Sold,442,63,1,2,0,0,0,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 328,'Cost of Goods Sold',1,'spr_list_Cost_of_Goods_Sold_General','Click here to view Cost of Goods Sold',442,63,1,2,0,0,0,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
329,Retail Sales - User,1,spr_list_Userwise_Retail_Sales,Userwise Retail Sales,440,48,1,2,0,330,200,0,1,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 329,'Retail Sales - User',1,'spr_list_Userwise_Retail_Sales','Userwise Retail Sales',440,48,1,2,0,330,200,0,1,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
330,Userwise Retail Sales Detail,2,spr_list_Userwise_Retail_Sales_Detail,,329,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 330,'Userwise Retail Sales Detail',2,'spr_list_Userwise_Retail_Sales_Detail','',329,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
331,Short Expiry stock,1,spr_list_itemsshortexpired,Click to view short expired items,431,0,1,2,0,332,200,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 331,'Short Expiry stock',1,'spr_list_itemsshortexpired','Click to view short expired items',431,0,1,2,0,332,200,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
332,Exception Report Details,2,spr_list_itemsshortexpired_details_fmcg,Click to view short expired items,331,0,1,2,0,0,200,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 332,'Exception Report Details',2,'spr_list_itemsshortexpired_details_fmcg','Click to view short expired items',331,0,1,2,0,0,200,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
333,Retail Sales - Customer,1,spr_Retail_Customerwise_Sales,Retail Customerwise sales,440,1,1,2,0,0,0,0,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 333,'Retail Sales - Customer',1,'spr_Retail_Customerwise_Sales','Retail Customerwise sales',440,1,1,2,0,0,0,0,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
334,Round off income,1,spr_List_ShortageIncome,,455,1,1,2,0,335,3,0,1,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 334,'Round off income',1,'spr_List_ShortageIncome','',455,1,1,2,0,335,3,0,1,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
335,Round Off Income Details,2,spr_List_ShortageIncome_Detail,,334,0,1,2,0,0,0,1,0,0,234,0,,,0,,,,0,0,0,0,0,"SELECT 335,'Round Off Income Details',2,'spr_List_ShortageIncome_Detail','',334,0,1,2,0,0,0,1,0,0,234,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
336,Sales tax summary,1,spr_list_TaxSummary_ITC,Sales Tax Summary,441,287,1,2,0,0,0,0,0,0,234,2,2;3;4;5;6;7,Total:;Total :,6,,,,0,0,0,0,0,"SELECT 336,'Sales tax summary',1,'spr_list_TaxSummary_ITC','Sales Tax Summary',441,287,1,2,0,0,0,0,0,0,234,2,'2;3;4;5;6;7','Total:;Total :',6,'','','',0,0,0,0,0 UNION ALL"
337,Purchase Tax Summary,1,SPR_LIST_PURCHASE_TAX_SUMM_ITC,Click here to view Purchase Tax Summary,447,287,1,2,0,338,200,0,1,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 337,'Purchase Tax Summary',1,'SPR_LIST_PURCHASE_TAX_SUMM_ITC','Click here to view Purchase Tax Summary',447,287,1,2,0,338,200,0,1,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
338,Purchase Tax Summary Detail,2,SPR_LIST_PURCHASE_TAX_SUMM_DETAIL_ITC,,337,0,1,2,0,0,3,1,0,0,0,0,,,0,,,,0,0,0,0,0,"SELECT 338,'Purchase Tax Summary Detail',2,'SPR_LIST_PURCHASE_TAX_SUMM_DETAIL_ITC','',337,0,1,2,0,0,3,1,0,0,0,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
339,Sales Tax - Party wise,1,spr_Partywise_VAT_summary_ITC,,441,290,1,2,0,0,3,0,0,0,190,0,,,0,,,,0,0,0,0,0,"SELECT 339,'Sales Tax - Party wise',1,'spr_Partywise_VAT_summary_ITC','',441,290,1,2,0,0,3,0,0,0,190,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
